Agency,Sub-contractor,Cluster,Site,Machine,Daily_Capacity,start_date,planned_end_date,expected_end_date,days_to_sept30,Quantity to be remediated in MT,Cumulative Quantity remediated till date in MT,Active_site,net_to_be_remediated_mt,days_required,Quantity remediated today
Saurashtra,Saurashtra,Kurnool,Kurnool,M1,1800,29/04/2025,30/06/2025,27/06/2025,,67308,49401,Yes,17907,10,1358
Saurashtra,Saurashtra,Kurnool,Dhone,M2,1200,18/06/2025,30/07/2025,20/06/2025,,2666,0,No,2666,3,0
Saurashtra,Saurashtra,Kurnool,Yemmiganur,M3,600,02/06/2025,30/07/2025,09/09/2025,,50000,0,No,50000,84,0
Saurashtra,Saurashtra,Kurnool,Adoni,M2_MC,1200,10/08/2025,20/08/2025,19/07/2025,,41357,3477,Yes,37880,32,479
Saurashtra,Saurashtra,Kurnool,Gudur(K),M1_S,1800,15/06/2025,20/06/2025,23/06/2025,,10000,0,No,10000,6,0
Saurashtra,Saurashtra,Nandyala,Nandyala,M4,1800,28/04/2025,30/06/2025,08/07/2025,,80083,42510,Yes,37573,21,1472
Saurashtra,Saurashtra,Nandyala,Bethamcherla,M5,1200,15/06/2025,15/07/2025,08/07/2025,,24189,0,No,24189,21,1247
Saurashtra,Saurashtra,Nandyala,Nandikotkur,M5_MC,1200,25/07/2025,15/08/2025,04/07/2025,,19700,0,No,19700,17,0
Saurashtra,Saurashtra,Nandyala,Atmakur(K),M5_S,1200,06/07/2025,10/07/2025,20/06/2025,,3596,0,No,3596,3,0
Saurashtra,Saurashtra,Nandyala,Giddalur,M6,700,30/06/2025,20/07/2025,01/07/2025,,9773,0,No,9773,14,0
Saurashtra,Saurashtra,Nandyala,Allagadda,M6_MC,800,30/07/2025,15/08/2025,25/06/2025,,6153,0,No,6153,8,0
Zigma,Zigma,Nellore Municipal Corporation,allipuram,M2,800,19/04/2025,25/06/2025,21/06/2025,,34037,31432,Yes,2605,4,0
Zigma,Zigma,Nellore Municipal Corporation,donthalli," M4, M15",1400,25/05/2025,11/09/2025,05/01/2026,,290442,8567,Yes,281875,202,718
Zigma,Zigma,GVMC,visag,M1,1300,10/03/2025,11/08/2025,06/08/2025,,201400,136856,Yes,64544,50,1387
Zigma,Zigma,Chittoor,Chittoor,"M9,M7_MC",,19/06/2025,15/09/2025,,,146232,0,No,146232,,0
Zigma,Zigma,Chittoor,madanapalle,M3,500,21/05/2025,15/07/2025,26/07/2025,,27532,8246,Yes,19286,39,902
Zigma,Zigma,Chittoor,B.Kothakota,M4_S,1400,16/07/2025,05/09/2025,06/07/2025,,25772,0,No,25772,19,0
Zigma,Zigma,Chittoor,Punganur,M8,500,08/06/2025,18/07/2025,27/07/2025,,22945,3230,Yes,19715,40,941
Zigma,Zigma,Chittoor,kuppam,M16,500,31/05/2025,10/07/2025,16/07/2025,,20000,5522,Yes,14478,29,1407
Zigma,Zigma,Chittoor,palamaner,M7,500,31/05/2025,15/07/2025,07/07/2025,,13177,3327,Yes,9850,20,425
Zigma,Zigma,Tirupati,tpty,"M6,M18A,M18B",,31/05/2025,24/08/2025,,,221473,6098,Yes,215375,,735
Zigma,Zigma,Tirupati,Srikalahasti,M10,800,13/06/2025,11/08/2025,19/08/2025,,50307,0,No,50307,63,0
Zigma,Zigma,Tirupati,Sullurpet,M11,800,15/06/2025,27/07/2025,04/08/2025,,38261,0,No,38261,48,0
Zigma,Zigma,Tirupati,Nagari,M4_S_MC,1400,30/07/2025,18/09/2025,02/07/2025,,20034,0,No,20034,15,0
Zigma,Zigma,Tirupati,Puttur,M12,400,16/06/2025,30/07/2025,11/08/2025,,21977,0,No,21977,55,0
Zigma,Zigma,Tirupati,Venkatagiri,M13,500,16/06/2025,10/07/2025,18/07/2025,,15093,0,No,15093,31,394
Zigma,Zigma,Nellore,Kavali,M16,400,20/06/2025,15/08/2025,03/08/2025,,18536,0,No,18536,47,0
Zigma,Zigma,Nellore,Gudur(N),M19,400,30/06/2025,04/09/2025,23/08/2025,,26563,0,No,26563,67,0
Zigma,Zigma,Nellore,Atmakur(N),M14,500,15/06/2025,10/07/2025,13/07/2025,,12784,0,No,12784,26,0
Zigma,Zigma,Nellore,Buchireddypalem,M4_S,1400,22/06/2025,07/07/2025,22/06/2025,,6030,0,No,6030,5,0
Zigma,Zigma,Nellore,Naidupet,M19_S,400,04/09/2025,14/09/2025,28/06/2025,,4186,0,No,4186,11,0
Zigma,Zigma,Nellore,Alluru,M4_S,1400,06/07/2025,08/07/2025,18/06/2025,,908,0,No,908,1,0
Zigma,Zigma,Anantapur,Anantapur,"M17,M20",,18/06/2025,19/09/2025,,,168285,0,No,168285,,0
Zigma,Zigma,Anantapur,Tadipatri,M8_MC,500,10/07/2025,24/08/2025,02/08/2025,,22735,0,No,22735,46,0
Zigma,Zigma,Anantapur,Guntakal,M9_MC,,18/07/2025,27/08/2025,,,20000,0,No,20000,,0
Zigma,Zigma,Anantapur,Kalyanadurgam,M21,400,27/07/2025,13/08/2025,05/07/2025,,7184,0,No,7184,18,0
Zigma,Zigma,Anantapur,Rayadurgam,M21_MC,,28/08/2025,15/09/2025,,,6919,0,No,6919,,0
Zigma,Zigma,Anantapur,Gooty,M9_S,,18/07/2025,27/08/2025,,,4563,0,No,4563,,0
Tharuni,Tharuni,Kadapa Municipal Corporation,Kadapa,,,5/6/25,,,,400000,87065,Yes,,,2442
Tharuni,Tharuni,Rajahmundry,Srikakulam,,,,,,,80978,30494,Yes,,,507
Tharuni,Tharuni,Rajahmundry,Vizianagaram,,,,,,,30604,21340,Yes,,,0
Tharuni,Tharuni,Rajahmundry,Rajahmundry,,,,,,,76735,4244,Yes,,,0
Tharuni,Tharuni,Kakinada,Kakinada,,,,,,,300000,20440,Yes,,,0
Tharuni,Tharuni,Kakinada,Palacole,,,,,,,30000,1977,Yes,,,0
Tharuni,Tharuni,Kakinada,Amalapuram,M12,,,,,,27543,2069,Yes,,,0
Tharuni,Tharuni,Chilakaluripet,Chilakaluripet,M14,,,,,,166278,11472,Yes,,,629
Tharuni,Tharuni,Chilakaluripet,Guntur,M13,,,,,,43811,27022,Yes,,,814
Tharuni,Tharuni,Chilakaluripet,Narsaraopet,M26,,,,,,30609,3153,No,,,460
Tharuni,Tharuni,Chilakaluripet,Bapatla,M15,,,,,,46264,1828,Yes,,,0
Tharuni,Tharuni,Chilakaluripet,Macherla,M16,,,,,,30894,1748,Yes,,,337
Tharuni,Tharuni,Chilakaluripet,Piduguralla,,,,,,,10793,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Vinukonda,,,,,,,11195,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Dachepalli,,,,,,,6194,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Ponnuru,,,,,,,8376,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Repalle,,,,,,,7203,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Gurazala,,,,,,,1675,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Sattenapalle,,,,,,,0,0,No,,,0
Tharuni,Tharuni,Chilakaluripet,Mangalagiri Tadepalli,,,,,,,0,0,No,,,0
Tharuni,Tharuni,Eluru,Eluru,,960,,,,,53348,5271,Yes,,,490
Tharuni,Tharuni,Eluru,Gudivada,,480,,,,,42953,0,No,,,0
Tharuni,Tharuni,Eluru,Machilipatnam,,480,,,,,41861,1863,Yes,,,328
Tharuni,Tharuni,Eluru,Bhimavaram,,500,,,,,32358,407,No,,,145
Tharuni,Tharuni,Eluru,Tadepalligudem,,,,,,,30258,0,No,,,0
Tharuni,Tharuni,Eluru,Vijayawada,,,,,,,,0,No,,,0
Tharuni,Tharuni,Eluru,Jaggaiahpet,,,,,,,12987,0,No,,,0
Tharuni,Tharuni,Eluru,Kondapalli,,,,,,,5000,0,No,,,0
Tharuni,Tharuni,Eluru,Nandigama,,,,,,,1398,0,No,,,0
Tharuni,Tharuni,Eluru,Nuzvid,,400,,,,,915,0,No,,,0
Tharuni,Tharuni,Eluru,Kovvur,,,,,,,915,0,No,,,0
Tharuni,Tharuni,Kadapa,Proddatur,,1400,,,,,70730,0,No,,,0
Tharuni,Tharuni,Kadapa,Rayachoti,,1200,,,,,94604,0,No,,,0
Tharuni,Tharuni,Kadapa,Badvel,,500,,,,,11926,0,No,,,0
Tharuni,Tharuni,Kadapa,Rajampet,,500,,,,,11800,0,No,,,0
Tharuni,Tharuni,Kadapa,Mydukur,,,,,,,11244,0,No,,,0
Tharuni,Tharuni,Kadapa,Pulivendula,,,,,,,10000,0,No,,,0
Tharuni,Tharuni,Kadapa,Jammalamadugu,,,,,,,4916,0,No,,,0
Tharuni,Tharuni,Kadapa,Yerraguntla,,,,,,,2021,0,No,,,0
Tharuni,Tharuni,Kadapa,Kamalapuram,,,,,,,1763,0,No,,,0
Tharuni,Tharuni,Hindupur,Hindupur,,,,,,,49020,0,No,,,0
Tharuni,Tharuni,Hindupur,Dharmavaram,,700,,,,,23000,3119,Yes,,,641
Tharuni,Tharuni,Hindupur,Madakasira,,,,,,,664,664,Yes,,,0
Tharuni,Tharuni,Hindupur,Puttaparthy,,,,,,,10299,0,No,,,0
Tharuni,Tharuni,Hindupur,Kadiri,,,,,,,20000,0,No,,,0
Tharuni,Tharuni,Hindupur,Penukonda,,700,,,,,14332,6329,Yes,,,817
Tharuni,Tharuni,Addanki,Ongole,,900,,,,,61929,12921,Yes,,,1071
Tharuni,Tharuni,Addanki,Addanki,,700,,,,,58754,6169,Yes,,,0
Tharuni,Tharuni,Addanki,Markapuram,,700,,,,,33877,3214,No,,,653
Tharuni,Tharuni,Addanki,Chirala,,,,,,,28392,0,No,,,0
Tharuni,Tharuni,Addanki,Kandukuru,,,,,,,26160,0,No,,,0
Tharuni,Tharuni,Addanki,Chimakurthy,,,,,,,14459,0,No,,,0
Tharuni,Tharuni,Addanki,Kanigiri,,,,,,,11662,0,No,,,0
Tharuni,Tharuni,Addanki,Darsi,,,,,,,1602,0,No,,,0
Tharuni,Tharuni,Addanki,Podili,,,,,,,1075,0,No,,,0